date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:44	78543/78543	---MCZ	200	added ('OK')	text/html	etag:W/%2267fd366c-132cf%22	https://mxbo.neocities.org/	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/mxbo.neocities.org/index.html	(from )
11:59:44	425/425	---M--	404	error ('Not%20Found')	text/html	etag:%22684275d3-1a9%22	https://mxbo.neocities.org/robots.txt		(from )
11:59:44	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-8c85%22	https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://mxbo.neocities.org/)
11:59:44	342/342	---M--	200	added ('OK')	image/png	etag:%22672baa58-156%22	https://mxbo.neocities.org/img/icons/RomOS.png	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/mxbo.neocities.org/img/icons/RomOS.png	(from https://mxbo.neocities.org/)
11:59:45	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/code.jquery.com/jquery-1.12.4.min.js	(from https://mxbo.neocities.org/)
11:59:45	253668/253668	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-3dee4%22	https://code.jquery.com/ui/1.12.1/jquery-ui.min.js	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/code.jquery.com/ui/1.12.1/jquery-ui.min.js	(from https://mxbo.neocities.org/)
11:59:45	1291/1291	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-50b%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui-touch-punch/0.2.3/jquery.ui.touch-punch.min.js	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/cdnjs.cloudflare.com/ajax/libs/jqueryui-touch-punch/0.2.3/jquery.ui.touch-punch.min.js	(from https://mxbo.neocities.org/)
11:59:46	130770/130770	---M-Z	200	added ('OK')	application/javascript	etag:%2262ca09ac-87d5%22	https://cdnjs.cloudflare.com/ajax/libs/interact.js/1.10.17/interact.min.js	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/cdnjs.cloudflare.com/ajax/libs/interact.js/1.10.17/interact.min.js	(from https://mxbo.neocities.org/)
11:59:46	13834/13834	---MCZ	200	added ('OK')	application/javascript	etag:W/%226834bd26-360a%22	https://mxbo.neocities.org/script.js	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/mxbo.neocities.org/script.js	(from https://mxbo.neocities.org/)
11:59:46	6190/6190	---MCZ	200	added ('OK')	application/javascript	etag:W/%22679f9e89-182e%22	https://mxbo.neocities.org/script_theme.js	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/mxbo.neocities.org/script_theme.js	(from https://mxbo.neocities.org/)
11:59:46	15097/15097	---MCZ	200	added ('OK')	text/css	etag:W/%22683324ba-3af9%22	https://mxbo.neocities.org/style.css	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/mxbo.neocities.org/style.css	(from https://mxbo.neocities.org/)
11:59:46	11676/11676	---MCZ	200	added ('OK')	text/css	etag:W/%226834b506-2d9c%22	https://mxbo.neocities.org/style_index.css	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/mxbo.neocities.org/style_index.css	(from https://mxbo.neocities.org/)
11:59:47	40221/40221	---M--	200	added ('OK')	image/png	etag:%2266c89d1e-9d1d%22	https://mxbo.neocities.org/img/loading.png	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/mxbo.neocities.org/img/loading.png	(from https://mxbo.neocities.org/)
11:59:47	400/400	---M--	200	added ('OK')	image/png	etag:%2266c89d75-190%22	https://mxbo.neocities.org/img/titles/text_about.png	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/mxbo.neocities.org/img/titles/text_about.png	(from https://mxbo.neocities.org/)
11:59:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2009:59:47%20GMT	http://www.theotaku.com/guru_results/4017_Sans.jpg	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/www.theotaku.com/guru_results/4017_Sans.c.delayed	(from https://mxbo.neocities.org/)
11:59:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2009:59:49%20GMT	http://www.theotaku.com/guru_results/4079_Knives.jpg	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/www.theotaku.com/guru_results/4079_Knives.jpg	(from https://mxbo.neocities.org/)
11:59:49	35436/35436	---M--	200	added ('OK')	image/jpeg	etag:%22f8aa-53012801a6ebc%22	https://www.theotaku.com/guru_results/4017_Sans.jpg	C:/Users/moham/Downloads/Memecoins/framer/https___mxbo.neocities.org_/www.theotaku.com/guru_results/4017_Sans.jpg	(from https://mxbo.neocities.org/)
